grantor|grantee|table_catalog|table_schema|table_name|column_name|privilege_type|is_grantable
postgres|postgres|demo|bookings|flights_v|aircraft_code|SELECT|YES
postgres|postgres|demo|bookings|flights_v|departure_city|UPDATE|YES
postgres|postgres|demo|bookings|flights|actual_arrival|SELECT|YES
postgres|postgres|demo|bookings|flights_v|scheduled_departure|INSERT|YES
postgres|postgres|demo|bookings|airports_data|airport_name|REFERENCES|YES
postgres|postgres|demo|bookings|tickets|ticket_no|SELECT|YES
postgres|postgres|demo|bookings|ticket_flights|fare_conditions|INSERT|YES
postgres|postgres|demo|bookings|flights_v|scheduled_arrival|SELECT|YES
postgres|postgres|demo|bookings|flights_v|actual_departure|INSERT|YES
postgres|postgres|demo|bookings|routes|arrival_airport|REFERENCES|YES
postgres|postgres|demo|bookings|flights_v|scheduled_departure|REFERENCES|YES
postgres|postgres|demo|bookings|boarding_passes|boarding_no|REFERENCES|YES
postgres|postgres|demo|bookings|ticket_flights|fare_conditions|UPDATE|YES
postgres|postgres|demo|bookings|flights_v|actual_arrival|SELECT|YES
postgres|postgres|demo|bookings|flights_v|arrival_city|SELECT|YES
postgres|postgres|demo|bookings|tickets|contact_data|REFERENCES|YES
postgres|postgres|demo|bookings|routes|aircraft_code|UPDATE|YES
postgres|postgres|demo|bookings|tickets|passenger_id|REFERENCES|YES
postgres|postgres|demo|bookings|flights|flight_no|UPDATE|YES
postgres|postgres|demo|bookings|bookings|total_amount|UPDATE|YES
postgres|postgres|demo|bookings|boarding_passes|boarding_no|UPDATE|YES
postgres|postgres|demo|bookings|airports_data|airport_name|UPDATE|YES
postgres|postgres|demo|bookings|flights_v|status|REFERENCES|YES
postgres|postgres|demo|bookings|ticket_flights|amount|REFERENCES|YES
postgres|postgres|demo|bookings|routes|arrival_airport|UPDATE|YES
postgres|postgres|demo|bookings|flights_v|scheduled_arrival_local|UPDATE|YES
postgres|postgres|demo|bookings|bookings|book_ref|REFERENCES|YES
postgres|postgres|demo|bookings|routes|departure_airport|UPDATE|YES
postgres|postgres|demo|bookings|flights_v|scheduled_arrival_local|REFERENCES|YES
postgres|postgres|demo|bookings|seats|seat_no|INSERT|YES
postgres|postgres|demo|bookings|ticket_flights|flight_id|SELECT|YES
postgres|postgres|demo|bookings|bookings|total_amount|SELECT|YES
postgres|postgres|demo|bookings|routes|days_of_week|SELECT|YES
postgres|postgres|demo|bookings|routes|days_of_week|INSERT|YES
postgres|postgres|demo|bookings|flights_v|arrival_city|UPDATE|YES
postgres|postgres|demo|bookings|airports_data|airport_code|REFERENCES|YES
postgres|postgres|demo|bookings|ticket_flights|flight_id|REFERENCES|YES
postgres|postgres|demo|bookings|flights_v|departure_airport|SELECT|YES
postgres|postgres|demo|bookings|routes|departure_airport_name|SELECT|YES
postgres|postgres|demo|bookings|flights_v|flight_id|SELECT|YES
postgres|postgres|demo|bookings|flights|flight_no|REFERENCES|YES
postgres|postgres|demo|bookings|flights_v|flight_id|INSERT|YES
postgres|postgres|demo|bookings|flights_v|departure_city|REFERENCES|YES
postgres|postgres|demo|bookings|flights_v|departure_city|SELECT|YES
postgres|postgres|demo|bookings|aircrafts|aircraft_code|UPDATE|YES
postgres|postgres|demo|bookings|flights_v|arrival_airport_name|INSERT|YES
postgres|postgres|demo|bookings|airports|airport_name|SELECT|YES
postgres|postgres|demo|bookings|routes|arrival_city|UPDATE|YES
postgres|postgres|demo|bookings|flights_v|actual_duration|INSERT|YES
postgres|postgres|demo|bookings|flights_v|scheduled_duration|UPDATE|YES
postgres|postgres|demo|bookings|flights_v|scheduled_departure_local|UPDATE|YES
postgres|postgres|demo|bookings|flights_v|actual_arrival_local|SELECT|YES
postgres|postgres|demo|bookings|airports|coordinates|INSERT|YES
postgres|postgres|demo|bookings|airports|city|SELECT|YES
postgres|postgres|demo|bookings|tickets|ticket_no|UPDATE|YES
postgres|postgres|demo|bookings|airports|city|UPDATE|YES
postgres|postgres|demo|bookings|flights|departure_airport|REFERENCES|YES
postgres|postgres|demo|bookings|flights_v|actual_duration|REFERENCES|YES
postgres|postgres|demo|bookings|flights|actual_departure|UPDATE|YES
postgres|postgres|demo|bookings|flights_v|status|INSERT|YES
postgres|postgres|demo|bookings|flights|scheduled_departure|SELECT|YES
postgres|postgres|demo|bookings|flights|aircraft_code|INSERT|YES
postgres|postgres|demo|bookings|flights_v|actual_arrival_local|INSERT|YES
postgres|postgres|demo|bookings|flights|scheduled_departure|UPDATE|YES
postgres|postgres|demo|bookings|flights_v|departure_airport_name|REFERENCES|YES
postgres|postgres|demo|bookings|tickets|book_ref|SELECT|YES
postgres|postgres|demo|bookings|flights_v|actual_arrival|UPDATE|YES
postgres|postgres|demo|bookings|flights|departure_airport|INSERT|YES
postgres|postgres|demo|bookings|flights_v|aircraft_code|REFERENCES|YES
postgres|postgres|demo|bookings|routes|arrival_city|REFERENCES|YES
postgres|postgres|demo|bookings|flights_v|flight_id|REFERENCES|YES
postgres|postgres|demo|bookings|aircrafts_data|aircraft_code|SELECT|YES
postgres|postgres|demo|bookings|boarding_passes|seat_no|REFERENCES|YES
postgres|postgres|demo|bookings|routes|flight_no|INSERT|YES
postgres|postgres|demo|bookings|flights|actual_departure|SELECT|YES
postgres|postgres|demo|bookings|flights_v|scheduled_arrival_local|INSERT|YES
postgres|postgres|demo|bookings|flights|arrival_airport|REFERENCES|YES
postgres|postgres|demo|bookings|airports_data|airport_code|UPDATE|YES
postgres|postgres|demo|bookings|flights_v|departure_airport_name|INSERT|YES
postgres|postgres|demo|bookings|flights_v|scheduled_arrival_local|SELECT|YES
postgres|postgres|demo|bookings|tickets|book_ref|UPDATE|YES
postgres|postgres|demo|bookings|tickets|ticket_no|REFERENCES|YES
postgres|postgres|demo|bookings|airports|timezone|UPDATE|YES
postgres|postgres|demo|bookings|airports|city|REFERENCES|YES
postgres|postgres|demo|bookings|flights_v|scheduled_departure_local|REFERENCES|YES
postgres|postgres|demo|bookings|flights_v|arrival_airport_name|SELECT|YES
postgres|postgres|demo|bookings|flights|actual_departure|INSERT|YES
postgres|postgres|demo|bookings|flights|arrival_airport|UPDATE|YES
postgres|postgres|demo|bookings|flights|scheduled_arrival|REFERENCES|YES
postgres|postgres|demo|bookings|routes|aircraft_code|SELECT|YES
postgres|postgres|demo|bookings|flights_v|aircraft_code|UPDATE|YES
postgres|postgres|demo|bookings|routes|aircraft_code|REFERENCES|YES
postgres|postgres|demo|bookings|flights_v|actual_departure_local|REFERENCES|YES
postgres|postgres|demo|bookings|airports_data|city|INSERT|YES
postgres|postgres|demo|bookings|flights_v|flight_no|REFERENCES|YES
postgres|postgres|demo|bookings|aircrafts|model|INSERT|YES
postgres|postgres|demo|bookings|boarding_passes|ticket_no|SELECT|YES
postgres|postgres|demo|bookings|flights|aircraft_code|SELECT|YES
postgres|postgres|demo|bookings|routes|arrival_airport_name|UPDATE|YES
postgres|postgres|demo|bookings|flights|status|REFERENCES|YES
postgres|postgres|demo|bookings|routes|departure_airport_name|REFERENCES|YES
postgres|postgres|demo|bookings|flights|actual_arrival|UPDATE|YES
postgres|postgres|demo|bookings|airports|coordinates|REFERENCES|YES
postgres|postgres|demo|bookings|flights|flight_id|INSERT|YES
postgres|postgres|demo|bookings|boarding_passes|seat_no|UPDATE|YES
postgres|postgres|demo|bookings|tickets|passenger_id|INSERT|YES
postgres|postgres|demo|bookings|seats|fare_conditions|INSERT|YES
postgres|postgres|demo|bookings|routes|departure_airport|SELECT|YES
postgres|postgres|demo|bookings|airports_data|airport_name|SELECT|YES
postgres|postgres|demo|bookings|boarding_passes|flight_id|SELECT|YES
postgres|postgres|demo|bookings|airports|coordinates|SELECT|YES
postgres|postgres|demo|bookings|airports|airport_name|UPDATE|YES
postgres|postgres|demo|bookings|seats|fare_conditions|UPDATE|YES
postgres|postgres|demo|bookings|flights|flight_id|SELECT|YES
postgres|postgres|demo|bookings|flights_v|arrival_city|INSERT|YES
postgres|postgres|demo|bookings|flights|actual_departure|REFERENCES|YES
postgres|postgres|demo|bookings|tickets|book_ref|INSERT|YES
