table_schema|table_name|array_agg
bookings|flights|['scheduled_departure timestamp with time zone NOT NULL', 'status character varying NOT NULL', 'actual_departure timestamp with time zone ', 'scheduled_arrival timestamp with time zone NOT NULL', 'flight_id integer NOT NULL', 'arrival_airport character(3) NOT NULL', 'aircraft_code character(3) NOT NULL', 'departure_airport character(3) NOT NULL', 'flight_no character(6) NOT NULL', 'actual_arrival timestamp with time zone ']
bookings|ticket_flights|['fare_conditions character varying NOT NULL', 'amount numeric NOT NULL', 'ticket_no character(13) NOT NULL', 'flight_id integer NOT NULL']
bookings|airports_data|['airport_code character(3) NOT NULL', 'coordinates point NOT NULL', 'city jsonb NOT NULL', 'timezone text NOT NULL', 'airport_name jsonb NOT NULL']
bookings|flights_v|['actual_duration interval ', 'actual_departure_local timestamp without time zone ', 'arrival_airport character(3) ', 'flight_no character(6) ', 'departure_city text ', 'arrival_airport_name text ', 'actual_arrival timestamp with time zone ', 'aircraft_code character(3) ', 'scheduled_arrival timestamp with time zone ', 'arrival_city text ', 'actual_arrival_local timestamp without time zone ', 'departure_airport character(3) ', 'scheduled_arrival_local timestamp without time zone ', 'scheduled_departure_local timestamp without time zone ', 'actual_departure timestamp with time zone ', 'flight_id integer ', 'status character varying ', 'scheduled_departure timestamp with time zone ', 'scheduled_duration interval ', 'departure_airport_name text ']
bookings|seats|['seat_no character varying NOT NULL', 'fare_conditions character varying NOT NULL', 'aircraft_code character(3) NOT NULL']
bookings|aircrafts|['range integer ', 'aircraft_code character(3) ', 'model text ']
bookings|aircrafts_data|['model jsonb NOT NULL', 'aircraft_code character(3) NOT NULL', 'range integer NOT NULL']
bookings|bookings|['book_date timestamp with time zone NOT NULL', 'total_amount numeric NOT NULL', 'book_ref character(6) NOT NULL']
bookings|airports|['airport_name text ', 'timezone text ', 'airport_code character(3) ', 'coordinates point ', 'city text ']
bookings|routes|['arrival_airport character(3) ', 'departure_airport character(3) ', 'days_of_week int4 array ', 'departure_city text ', 'flight_no character(6) ', 'departure_airport_name text ', 'arrival_city text ', 'duration interval ', 'aircraft_code character(3) ', 'arrival_airport_name text ']
bookings|tickets|['book_ref character(6) NOT NULL', 'contact_data jsonb ', 'passenger_id character varying NOT NULL', 'ticket_no character(13) NOT NULL', 'passenger_name text NOT NULL']
bookings|boarding_passes|['seat_no character varying NOT NULL', 'ticket_no character(13) NOT NULL', 'boarding_no integer NOT NULL', 'flight_id integer NOT NULL']
